Translation File,API Name,Error
HSvc_Billing_Identity__c-es_EC.objectTranslation,Chilean Tax Identification Number (RUT),API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Citizenship Card,API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Foreigner ID,API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Peru National Identity Document (DNI),API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Peru Tax Identification Number (RUC),API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Tax Identification Number (NIT),API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Ecuador Foreigner Id,API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Peru Foreigner ID (CE),API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Ecuador Citizenship Card,API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Chilean Identity Card (RUN),API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Voting Card,API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Passport,API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Driver License,API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Ecuador Tax Identification Number (RUC) Legal Person,API name not found in translation file.
HSvc_Billing_Identity__c-es_EC.objectTranslation,Ecuador Tax Identification Number (RUC) Natural Person,API name not found in translation file.
