Translation File,API Name,Error
Account-es_CO.objectTranslation,SME_CHANNEL SALES,API name not found in translation file.
Account-es_CO.objectTranslation,Reseller,API name not found in translation file.
Account-es_CO.objectTranslation,Prospect,API name not found in translation file.
Account-es_CO.objectTranslation,Partner,API name not found in translation file.
Account-es_CO.objectTranslation,10: Employees,API name not found in translation file.
Account-es_CO.objectTranslation,1011: Procession and preserving of meat and meat products,API name not found in translation file.
Account-es_CO.objectTranslation,"1012: Processing and preserving of meat, fish, crustaceans and mollusks",API name not found in translation file.
Account-es_CO.objectTranslation,"1020: Processing and preserving of fruit, vegetables and tubers",API name not found in translation file.
Account-es_CO.objectTranslation,1030: Manufacture of vegetable and animal oils and fats,API name not found in translation file.
Account-es_CO.objectTranslation,1040: Manufacture of dairy products,API name not found in translation file.
Account-es_CO.objectTranslation,1051: Manufacture of grain mill products,API name not found in translation file.
Account-es_CO.objectTranslation,1052: Manufacture of starches and starch products,API name not found in translation file.
Account-es_CO.objectTranslation,1061: Coffee threshing,API name not found in translation file.
Account-es_CO.objectTranslation,"1062: Decaffeination, roasting and milling of coffee",API name not found in translation file.
Account-es_CO.objectTranslation,1063: Other coffee products ,API name not found in translation file.
Account-es_CO.objectTranslation,1071: Manufacture and refining of sugar,API name not found in translation file.
Account-es_CO.objectTranslation,1072: Manufacture of panela,API name not found in translation file.
Account-es_CO.objectTranslation,1081: Manufacture of bakery products,API name not found in translation file.
Account-es_CO.objectTranslation,"1082: Manufacture of cocoa, chocolate and sugar confectionery",API name not found in translation file.
Account-es_CO.objectTranslation,"1083: Manufacture of macaroni, noodles, couscous and similar farinaceous products",API name not found in translation file.
Account-es_CO.objectTranslation,1084: Manufacture of prepared meals and dishes,API name not found in translation file.
Account-es_CO.objectTranslation,1089: Manufacture of other food products n.e.c.,API name not found in translation file.
Account-es_CO.objectTranslation,1090: Manufacture of prepared animal feeds,API name not found in translation file.
Account-es_CO.objectTranslation,"1101: Distilling, rectifying and blending of alcoholic beverages",API name not found in translation file.
Account-es_CO.objectTranslation,1102: Manufacture of non-distilled fermented beverages,API name not found in translation file.
Account-es_CO.objectTranslation,"1103: Manufacture of malt, manufacture of beer and other malt beverages",API name not found in translation file.
Account-es_CO.objectTranslation,1104: Manufacture of soft drinks; production of mineral waters and other bottled waters,API name not found in translation file.
Account-es_CO.objectTranslation,"111: Growing of cereals (except rice), leguminous crops and oil seeds",API name not found in translation file.
Account-es_CO.objectTranslation,112: Growing of rice,API name not found in translation file.
Account-es_CO.objectTranslation,"113: Growing of vegetables, roots and tubers",API name not found in translation file.
Account-es_CO.objectTranslation,114: Growing of tobacco,API name not found in translation file.
Account-es_CO.objectTranslation,115: Growing of textile crops,API name not found in translation file.
Account-es_CO.objectTranslation,119: Other non-perennial crops (not elsewhere classified – n.e.c),API name not found in translation file.
Account-es_CO.objectTranslation,1200: Manufacture of tobacco products,API name not found in translation file.
Account-es_CO.objectTranslation,121: Growing of tropical and subtropical fruits,API name not found in translation file.
Account-es_CO.objectTranslation,122: Growing of plantains and bananas,API name not found in translation file.
Account-es_CO.objectTranslation,123: Growing coffee,API name not found in translation file.
Account-es_CO.objectTranslation,124: Growing of sugar cane,API name not found in translation file.
Account-es_CO.objectTranslation,125: Growing of cut flowers,API name not found in translation file.
Account-es_CO.objectTranslation,126: Growing of oil palms (African palm) and other oleaginous fruits,API name not found in translation file.
Account-es_CO.objectTranslation,127: Growing of beverage crops,API name not found in translation file.
Account-es_CO.objectTranslation,128: Growing of species and aromatic and medicinal plants,API name not found in translation file.
Account-es_CO.objectTranslation,129: Other perennial crops n.e.c.,API name not found in translation file.
Account-es_CO.objectTranslation,130: Plant propagation (nurseries activities excluding forest tree nurseries),API name not found in translation file.
Account-es_CO.objectTranslation,1311: Preparation and spinning of textile fibers,API name not found in translation file.
Account-es_CO.objectTranslation,1312: Weaving of textile products,API name not found in translation file.
Account-es_CO.objectTranslation,1313: Finishing of textile products,API name not found in translation file.
Account-es_CO.objectTranslation,1391: Manufacture of knitted and crocheted fabrics,API name not found in translation file.
Account-es_CO.objectTranslation,"1392: Manufacture of made-up textile articles, except apparel",API name not found in translation file.
Account-es_CO.objectTranslation,1393: Manufacture of carpets and rugs,API name not found in translation file.
Account-es_CO.objectTranslation,"1394: Manufacture of cordage, rope, twine and netting",API name not found in translation file.
Account-es_CO.objectTranslation,1399: Manufacture of other textiles n.e.c.,API name not found in translation file.
Account-es_CO.objectTranslation,141: Raising of cattle and buffaloes,API name not found in translation file.
Account-es_CO.objectTranslation,"1410: Manufacture of wearing apparel, except fur apparel",API name not found in translation file.
Account-es_CO.objectTranslation,142: Raising of horses and other equines,API name not found in translation file.
Account-es_CO.objectTranslation,1420: Manufacture of articles of fur,API name not found in translation file.
Account-es_CO.objectTranslation,143: Raising of sheep and goats,API name not found in translation file.
Account-es_CO.objectTranslation,1430: Manufacture of knitted and crocheted apparel,API name not found in translation file.
Account-es_CO.objectTranslation,144: Raising of swine/pigs,API name not found in translation file.
Account-es_CO.objectTranslation,145: Raising of poultry,API name not found in translation file.
Account-es_CO.objectTranslation,149: Raising of other animals n.e.c.,API name not found in translation file.
Account-es_CO.objectTranslation,150: Mixed farming (agriculture and animal production),API name not found in translation file.
Account-es_CO.objectTranslation,1511: Tanning and dressing of leather; dressing and dyeing of fur,API name not found in translation file.
Account-es_CO.objectTranslation,"1512: Manufacture of leather luggage, handbags and the like; and saddlery and harness",API name not found in translation file.
Account-es_CO.objectTranslation,"1513: Manufacture of luggage, handbags, and the like; and saddlery and harness in other materials",API name not found in translation file.
Account-es_CO.objectTranslation,"1521: Manufacture of leather and fur footwear, with any type of sole ",API name not found in translation file.
Account-es_CO.objectTranslation,"1522: Manufacture of other footwear, except leather and fur footwear",API name not found in translation file.
Account-es_CO.objectTranslation,1523: Manufacture of footwear parts,API name not found in translation file.
Account-es_CO.objectTranslation,161: Support activities for crop production,API name not found in translation file.
Account-es_CO.objectTranslation,"1610: Sawmilling, planning and impregnation of wood",API name not found in translation file.
Account-es_CO.objectTranslation,162: Support activities for animal production,API name not found in translation file.
Account-es_CO.objectTranslation,"1620: Manufacture of veneer sheets; manufacture of plywood, laminated boards, particle board and other boards and panels",API name not found in translation file.
Account-es_CO.objectTranslation,163: Post-harvest crop activities,API name not found in translation file.
Account-es_CO.objectTranslation,"1630: Manufacture of parts and pieces of wood, of carpentry and joinery for construction",API name not found in translation file.
Account-es_CO.objectTranslation,164: Seed processing for propagation,API name not found in translation file.
Account-es_CO.objectTranslation,1640: Manufacture of wooden containers,API name not found in translation file.
