Translation File,API Name,Error
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Activate service,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Adjustments not applied,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Bad Number,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Callback,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Call Back,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Cancelled,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Considering,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Contacted,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,De-install Equipment,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Dispatch Tech,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Educated Customer,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Escalate,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Escalated to Hughes,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Escalated to SIC,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Escalated to Supervisor,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Give Courtesy Token(s),API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Inform customer,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Inform management Customer Service Hughes,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Inform management Field Service Hughes,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Install - Escalate,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Install - Updated,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Left Message,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Located,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,No Answer,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Not located,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Not Updated,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Prioritize dispatch tech,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Process,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Process Cancellation,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Purchase Token(s),API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Recurring Payments,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Refer to Retention,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Repair - Escalate,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Repair Site,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Repair - Updated,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Report Issue to Control Desk/NMC,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Request call recording,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Resolved,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Retain Customer No Credit,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Retain Customer with Credit,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Saved,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Survey Accomplish,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,System Generated,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Truckroll,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Updated,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Wait for New Allowance,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,3rd party Device Issue,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Account Issue,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Account Name (Misspelling),API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Account Ownership Change,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Activate new service,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Agent Callback,API name not found in translation file.
HSvc_RIA_Reason_Mapping__c-es_PE.objectTranslation,Amount Due,API name not found in translation file.
