Translation File,API Name,Error
HSvc_CaseTemplate__c-es_PE.objectTranslation,Agent Note,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Customer Note,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Consult,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Escalation by Customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Customer Escalation Response,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Inbound Email,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Outbound Email,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Case Creation,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,ARRIVAL,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,STOP,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,ETA,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,CLOSURE,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Information,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Complaint,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Request,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Chat,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Phone - inbound,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Phone - outbound,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Self-care,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Email,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Mail,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,IVR,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,EM7,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Order,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Phone,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Self-Service,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,MobileAPP,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Sample,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Activate service,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Adjustments not applied,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Bad Number,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Callback,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Call Back,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Cancelled,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Considering,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Contact customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Contacted,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Customer Education,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Customer Issue,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,De-install Equipment,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Dispatch Tech,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Educated Customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Escalate,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Escalated,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Escalated to Hughes,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Escalated to SIC,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Escalated to Supervisor,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Give Courtesy Token(s),API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Inform customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Inform management Customer Service Hughes,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Inform management Field Service Hughes,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Install - Escalate,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Install - Updated,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Left Message,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Located,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,No Answer,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Not located,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Not Updated,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Prioritize dispatch tech,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Process,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Process Cancellation,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Purchase Token(s),API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Recurring Payments,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Refer to Retention,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Repair - Escalate,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Repair Site,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Repair - Updated,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Report Issue to Control Desk/NMC,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Request call recording,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Resolved,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Retain Customer No Credit,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Retain Customer with Credit,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Saved,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Survey Accomplish,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,System Generated,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Truckroll,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Updated,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Wait for New Allowance,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,3rd party Device Issue,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Access Issue,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Account Issue,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Account Name (Misspelling),API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Account Ownership Change,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Activate new service,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Agent Callback,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Amount Due,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,API - FAP Token,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,API - Order,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Application access issue,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Application Issue,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Application Issue - Customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Application Issue - hughes,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Application Questions,API name not found in translation file.
HSvc_CaseTemplate__c-es_PE.objectTranslation,Application Slow response times,API name not found in translation file.
